x,velocity_cm_s
-4.569088319088321803e+00,6.098819501643786367e+01
-4.565527065527068551e+00,6.245735206930000771e+01
-4.561965811965814410e+00,6.376018945580037922e+01
-4.558404558404561158e+00,6.483012495656217311e+01
-4.554843304843307905e+00,6.545409546957947100e+01
-4.551282051282054653e+00,6.596501209173649727e+01
-4.547720797720800512e+00,6.653761917837736917e+01
-4.544159544159547259e+00,6.699445473255073580e+01
-4.540598290598293119e+00,6.735780341543579652e+01
-4.537037037037039866e+00,6.804319262877622521e+01
-4.533475783475786614e+00,6.864080201820348748e+01
-4.529914529914532473e+00,6.906883057134035653e+01
-4.526353276353279220e+00,6.937646760127745438e+01
-4.522792022792025968e+00,6.949903323776300113e+01
-4.519230769230771827e+00,6.938000053536683254e+01
-4.515669515669518574e+00,6.903024006051785477e+01
-4.512108262108265322e+00,6.844486005832307285e+01
-4.508547008547011181e+00,6.766326633208711883e+01
-4.504985754985757929e+00,6.672758232672191525e+01
-4.501424501424504676e+00,6.605686837806047151e+01
-4.497863247863250535e+00,6.549078363127691205e+01
-4.494301994301997283e+00,6.508096327690842031e+01
-4.490740740740744030e+00,6.487904250549210872e+01
-4.487179487179489890e+00,6.472875692461295216e+01
-4.483618233618236637e+00,6.462901947762804866e+01
-4.480056980056982496e+00,6.456977489059067921e+01
-4.476495726495729244e+00,6.457629723044800585e+01
-4.472934472934475991e+00,6.460836540141318096e+01
-4.469373219373222739e+00,6.459994071243079361e+01
-4.465811965811968598e+00,6.462358419441360979e+01
-4.462250712250715345e+00,6.462901947762804866e+01
-4.458689458689461205e+00,6.473745337775605435e+01
-4.455128205128207952e+00,6.513912080730290199e+01
-4.451566951566954700e+00,6.537827326873809852e+01
-4.448005698005700559e+00,6.576825483937389549e+01
-4.444444444444447306e+00,6.492170947872544673e+01
-4.440883190883194054e+00,6.284896422490016477e+01
-4.437321937321939913e+00,5.967937881840161651e+01
-4.433760683760686661e+00,5.582358890608048085e+01
-4.430199430199433408e+00,5.130197679999090354e+01
-4.426638176638179267e+00,4.692874792565542919e+01
-4.423076923076926015e+00,4.184567106351457255e+01
-4.419515669515672762e+00,3.646501244538332287e+01
-4.415954415954418621e+00,3.126181582420343830e+01
-4.412393162393165369e+00,2.656790524021621991e+01
-4.408831908831912116e+00,2.279364457611164596e+01
-4.405270655270657976e+00,2.140873441307326175e+01
-4.401709401709404723e+00,1.968330375665044585e+01
-4.398148148148151471e+00,1.776709465940091093e+01
-4.394586894586897330e+00,1.467550556702951781e+01
-4.391025641025644077e+00,1.128687824698918973e+01
-4.387464387464390825e+00,7.936841437771363417e+00
-4.383903133903136684e+00,4.921889838723529920e+00
-4.380341880341883432e+00,2.235772874149091649e+00
-4.376780626780629291e+00,7.579132473209426735e-02
-4.373219373219376038e+00,-2.422808368944259882e+00
-4.369658119658122786e+00,-4.454788998661285859e+00
-4.366096866096869533e+00,-5.790781612769734465e+00
-4.362535612535615392e+00,-6.320721726177282562e+00
-4.358974358974362140e+00,-5.950307175113465519e+00
-4.355413105413107999e+00,-4.520555925555981958e+00
-4.351851851851854747e+00,-4.468920735018841128e+00
-4.348290598290601494e+00,-4.550721747396082151e+00
-4.344729344729347353e+00,-4.715410828793508813e+00
-4.341168091168094101e+00,-4.954835054389448601e+00
-4.337606837606840848e+00,-5.240459187308090350e+00
-4.334045584045586708e+00,-5.564945595209920270e+00
-4.330484330484333455e+00,-5.882094370772279035e+00
-4.326923076923080203e+00,-6.169620852815967282e+00
-4.323361823361826062e+00,-6.285120621122729290e+00
-4.319800569800572809e+00,-6.229408968174766414e+00
-4.316239316239318669e+00,-6.023683498508319190e+00
-4.312678062678065416e+00,-5.712241770321142553e+00
-4.309116809116812163e+00,-6.106299803367789991e+00
-4.305555555555558911e+00,-5.921228409916224678e+00
-4.301994301994304770e+00,-5.253503867022715212e+00
-4.298433048433051518e+00,-4.166175459974752471e+00
-4.294871794871797377e+00,-2.727727757274138298e+00
-4.291310541310544124e+00,-1.050942885620514744e+00
-4.287749287749290872e+00,7.274817821430303866e-01
-4.284188034188037619e+00,2.548573423139913530e+00
-4.280626780626783479e+00,4.329443968349977467e+00
-4.277065527065530226e+00,6.047265228272564741e+00
-4.273504273504276085e+00,7.597951529351249178e+00
-4.269943019943022833e+00,8.877417198029590395e+00
-4.266381766381769580e+00,9.758476607089704657e+00
-4.262820512820516328e+00,1.017128636722614488e+01
-4.259259259259262187e+00,1.000170553093572323e+01
-4.255698005698008934e+00,1.050501275659254929e+01
-4.252136752136754794e+00,1.103495287000006897e+01
-4.248575498575501541e+00,1.158473176714028341e+01
-4.245014245014248289e+00,1.217147059013872479e+01
-4.241452991452994148e+00,1.269217072208169839e+01
-4.237891737891740895e+00,1.318786855123832424e+01
-4.234330484330486755e+00,1.366073819089425001e+01
-4.230769230769233502e+00,1.407599382847719482e+01
-4.227207977207980250e+00,1.446434481414868856e+01
-4.223646723646726997e+00,1.477877594810381368e+01
-4.220085470085472856e+00,1.505896479780798813e+01
-4.216524216524219604e+00,1.528996433442154057e+01
-4.212962962962965463e+00,1.546498045392638687e+01
-4.209401709401712210e+00,1.558537197712615807e+01
-4.205840455840458958e+00,1.561907073305566485e+01
-4.202279202279205705e+00,1.560222135509093278e+01
-4.198717948717951565e+00,1.551634388030282707e+01
-4.195156695156698312e+00,1.536959123351306289e+01
-4.191595441595444171e+00,1.515516931070351347e+01
-4.188034188034190919e+00,1.497689202127001806e+01
-4.184472934472937666e+00,1.476736185335350626e+01
-4.180911680911684414e+00,1.445238719107693726e+01
-4.177350427350430273e+00,1.400941160910032579e+01
-4.173789173789177021e+00,1.340201870988710198e+01
-4.170227920227922880e+00,1.269814953361760956e+01
-4.166666666666669627e+00,1.192416520388188417e+01
-4.163105413105416375e+00,1.097652357544488666e+01
-4.159544159544162234e+00,1.006339599541956886e+01
-4.155982905982908981e+00,9.378278546239869229e+00
-4.152421652421654841e+00,8.942912360763529023e+00
-4.148860398860401588e+00,8.752405684097539051e+00
-4.145299145299148336e+00,8.877688962190291022e+00
-4.141737891737895083e+00,9.282617561665816197e+00
-4.138176638176640942e+00,9.925611565933621705e+00
-4.134615384615387690e+00,1.071617350947337854e+01
-4.131054131054133549e+00,1.151217073622757425e+01
-4.127492877492880297e+00,1.222065990322933260e+01
-4.123931623931627044e+00,1.279978932972751693e+01
